Family,Product-Type,Steel,Carbon,Hardness,Temper_rolling,Condition,Formability,Strength,Non-ageing,Surface-finish,Enamelability,Bc,Bendability,Delamination,Weldability,Coating,Lubrication,Adhesion,Quality,Location,Surface-defects,Pitted,Passivation,Ferrous,Stainless,Resilience,Corrosion,Fabrication
,G,,,,,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,3.2,610.0,0,,0,,3
,E,,,Y,,B,,,,,,,,,,,,,,,SHEET,0.7,1300.0,762,,0,,3
,G,,,,,M,,,,,,,,,,,,,,,COIL,2.801,385.1,0,,0,,3
,G,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,0.801,255.0,269,,0,,3
,D,,,,,,,,,,,,,,,,,,,,COIL,1.6,610.0,0,,0,,3
,E,,,,,,Y,,,,,,,,,,,,,,SHEET,0.699,610.0,4880,Y,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,3.3,152.0,0,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,0.699,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.0,1320.0,762,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,1.2,610.0,0,,0,,3
,E,,,,,,Y,,,,,,,,,,,,,,SHEET,0.3,1320.0,4880,Y,0,,3
,E,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,1.2,610.0,150,,0,,3
,D,,,,,,,,,,,,,,,,,,,,COIL,1.2,609.9,0,,0,,3
,F,,,Y,,,,,,,,,,,,,,,,,SHEET,0.6,1220.0,761,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,4.0,1320.0,762,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,3.201,600.0,0,,0,,U
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.8,610.0,4170,Y,0,,U
,E,,,,,,,,,,,,,,,,,,,,SHEET,3.2,1320.1,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.501,1200.1,0,,0,,3
,F,,,Y,,,Y,,,,,,,,,,,,,,SHEET,0.6,610.0,761,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,0.8,610.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.001,50.0,0,,0,,U
,,,,,,,,,,,,,,,,,,,,,COIL,3.2,609.9,0,,0,,3
,,,,Y,,,,,,,,,,,,,,,,,COIL,0.5,610.0,0,,0,,1
,G,,,,Y,,,,,,,,,,,,,,,,COIL,3.2,1320.0,0,,0,,3
,G,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,0.8,356.0,4880,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,SHEET,0.7,609.9,4170,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,0.8,900.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.6,610.0,0,,500,,3
,,,,,,B,,,,,,,,Y,,,,,,,SHEET,0.6,610.0,4880,,0,,5
,E,,,,,,,,,,Y,,,,,,,,,,SHEET,1.4,1320.0,4170,,0,,3
,D,,,,,B,,,,,,,,,,,,,,,SHEET,0.699,1320.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,4.0,450.0,0,,0,,U
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.75,1320.0,4880,,0,,3
,,,,,,B,,,,,,,,,,,,,,,COIL,1.6,1220.0,0,,0,,5
,G,,,,Y,,,,,,,,,,,,,,,,COIL,1.399,1320.0,0,,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,0.6,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.651,20.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.6,374.9,4880,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,1.6,50.0,0,,0,,3
,E,,,Y,,,Y,,,,,,,,,,,,,,SHEET,0.699,1320.0,4880,Y,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.6,610.0,762,,0,,3
,,,,,,,,,,,,,,Y,,,,,,,COIL,0.799,20.0,0,,0,,5
,F,,,Y,,,,,,,,,,,,,,,,,SHEET,0.6,610.0,301,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.601,610.0,4880,,0,,3
,D,,,,,,Y,,,,,,,,,,,,,,SHEET,0.7,1320.0,4880,,0,,3
,G,,,,,B,,,,,,,,,,,,,,,COIL,2.5,1274.9,0,,500,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.699,1320.0,4880,N,0,,3
,E,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.7,609.9,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.3,1320.0,761,,0,,3
,E,,,,,B,Y,,,,,,,,,,,,,,SHEET,1.599,1300.0,762,,0,,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,0.599,150.0,4880,,0,,3
,E,,,,Y,,,,,,,,,,,,,,,,COIL,0.7,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.7,374.9,4880,,0,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.301,610.0,762,Y,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.6,1320.0,0,,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,SHEET,3.2,1300.0,762,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.2,610.0,762,,0,,3
